date,open,high,low,close,volume,money
3/10/2014,95.18,95.18,95.17,95.17,1310,124672.7
3/13/2014,95.43,95.43,95.21,95.21,310,29515.1
3/14/2014,95.27,95.28,95.27,95.28,60,5716.8
3/19/2014,95.28,95.28,95.1,95.1,220,20922
3/20/2014,95.1,95.1,95.1,95.1,130,12363
3/21/2014,95.31,95.31,95.31,95.31,270,25733.7
3/25/2014,96.39,96.39,96.18,96.18,100,9618
3/26/2014,96,96,94.96,94.96,320,30387.2
3/31/2014,95.02,95.02,95,95,6340,602300
4/1/2014,95.2,95.2,95.2,95.2,10,952
4/2/2014,95.25,95.25,95.25,95.25,10,952.5
4/3/2014,95.1,95.1,95,95,160,15200
4/4/2014,95.3,95.3,95.3,95.3,10,953
4/8/2014,95.3,95.3,95.01,95.2,160,15232
4/9/2014,95,95.15,95,95.01,150,14251.5
4/10/2014,95.2,95.2,95.2,95.2,290,27608
4/11/2014,95.2,95.2,94.61,94.61,60,5676.6
4/14/2014,96.42,96.42,95.95,95.95,200,19190
4/15/2014,95.4,95.4,95.4,95.4,50,4770
4/16/2014,95.02,95.3,95.02,95.3,800,76240
4/17/2014,96.31,96.31,95.88,95.88,140,13423.2
4/18/2014,95.97,95.98,95.3,95.98,70,6718.6
4/21/2014,95.39,95.95,95.39,95.95,300,28785
4/22/2014,95.31,95.94,95.31,95.5,40,3820
4/23/2014,95.35,96,95.35,95.8,800,76640
4/24/2014,95.11,95.23,95.11,95.23,150,14284.5
4/25/2014,94.6,95.6,94,94.65,8830,835759.5
4/28/2014,95.19,95.2,95.19,95.2,200,19040
4/29/2014,95.04,95.04,95.04,95.04,60,5702.4
4/30/2014,95.05,95.3,95.05,95.2,410,39032
5/5/2014,95.34,96.99,95.34,95.35,590,56256.5
5/6/2014,95.99,95.99,95.88,95.88,110,10546.8
5/7/2014,95.5,95.99,95.45,95.99,160,15358.4
5/8/2014,96.47,96.47,96.2,96.2,120,11544
5/9/2014,96.1,96.58,96.1,96.58,50,4829
5/12/2014,96.85,96.86,96.85,96.86,200,19372
5/13/2014,96.6,96.83,96.49,96.83,410,39700.3
5/14/2014,97.95,97.96,97,97.71,210,20519.1
5/15/2014,97,97.16,96.9,97.16,350,34006
